codusu,nro_hogar,ch04,ch06,ch07,ch08,nivel_ed,estado,cat_inac,ipcf
150251  ,1.0,2,66.0,2,1,3,3,4,1050.0
150353  ,1.0,2,86.0,4,12,2,3,1,1040.0
150633  ,1.0,2,52.0,3,4,3,1,0.0,64.28571428571429
150633  ,1.0,2,32.0,2,4,2,1,0.0,64.28571428571429
150633  ,1.0,2,18.0,3,4,2,3,7,64.28571428571429
150633  ,1.0,2,13.0,5,4,3,3,3,64.28571428571429
150633  ,1.0,1,10.0,5,4,1,3,3,64.28571428571429
150633  ,1.0,1,1.0,5,4,7,4,5,64.28571428571429
150633  ,1.0,1,0,5,4,7,4,5,64.28571428571429
150765  ,1.0,2,63.0,4,2,6,3,4,500.0
150858  ,1.0,2,73.0,4,1,4,3,1,366.6666666666667
150858  ,1.0,2,46.0,5,4,5,2,0.0,366.6666666666667
150858  ,1.0,1,43.0,5,4,6,1,0.0,366.6666666666667
150919  ,1.0,1,72.0,2,1,2,3,1,450.0
150919  ,1.0,2,70.0,2,1,2,3,1,450.0
151070  ,1.0,1,27.0,1,2,5,1,0.0,1200.0
151070  ,1.0,2,25.0,1,1,5,1,0.0,1200.0
151089  ,1.0,1,59.0,2,2,4,1,0.0,1275.0
151089  ,1.0,2,51.0,2,2,6,1,0.0,1275.0
151089  ,1.0,1,27.0,5,2,6,1,0.0,1275.0
151089  ,1.0,1,25.0,5,2,6,1,0.0,1275.0
151143  ,1.0,1,64.0,2,1,3,1,0.0,636.0
151143  ,1.0,2,51.0,2,1,3,3,4,636.0
151143  ,1.0,2,29.0,5,1,5,1,0.0,636.0
151143  ,1.0,1,24.0,5,1,5,1,0.0,636.0
151679  ,1.0,1,29.0,2,2,6,1,0.0,333.3333333333333
151679  ,1.0,2,29.0,2,2,6,3,4,333.3333333333333
151679  ,1.0,1,2.0,5,2,7,4,5,333.3333333333333
152326  ,1.0,1,58.0,2,1,6,1,0.0,866.6666666666666
152326  ,1.0,2,40.0,2,1,6,1,0.0,866.6666666666666
152326  ,1.0,2,1.0,5,1,7,4,5,866.6666666666666
152357  ,1.0,1,75.0,2,1,4,3,7,1000.0
152357  ,1.0,2,74.0,2,1,3,3,4,1000.0
152571  ,1.0,2,63.0,4,1,2,3,4,326.6666666666667
152571  ,1.0,1,29.0,5,1,6,1,0.0,326.6666666666667
152571  ,1.0,2,23.0,5,4,5,1,0.0,326.6666666666667
152661  ,1.0,1,74.0,3,1,3,3,1,310.0
152661  ,1.0,2,47.0,3,4,3,1,0.0,310.0
152687  ,1.0,1,32.0,1,4,2,2,0.0,300.0
152687  ,1.0,2,32.0,1,1,3,1,0.0,300.0
153058  ,1.0,2,59.0,3,2,5,1,0.0,1400.0
153530  ,1.0,1,56.0,2,1,4,1,0.0,425.0
153530  ,1.0,2,57.0,2,1,4,3,4,425.0
153530  ,1.0,2,26.0,5,1,6,1,0.0,425.0
153530  ,1.0,2,19.0,5,1,5,3,3,425.0
153796  ,1.0,1,70.0,4,1,1,1,0.0,830.0
153859  ,1.0,2,71.0,4,1,4,3,1,609.0
154066  ,1.0,1,39.0,2,2,6,1,0.0,183.33333333333334
154066  ,1.0,2,38.0,2,2,6,3,4,183.33333333333334
154066  ,1.0,2,7.0,5,2,1,4,3,183.33333333333334
154066  ,1.0,2,5.0,5,2,7,4,5,183.33333333333334
154066  ,1.0,1,3.0,5,2,7,4,5,183.33333333333334
154066  ,1.0,1,0,5,2,7,4,5,183.33333333333334
154073  ,1.0,1,85.0,4,1,2,3,1,380.0
154253  ,1.0,1,76.0,4,4,2,1,0.0,400.0
154323  ,1.0,1,61.0,5,1,6,1,0.0,2500.0
155205  ,1.0,1,42.0,2,4,4,1,0.0,280.4
155205  ,1.0,2,42.0,2,4,3,1,0.0,280.4
155205  ,1.0,2,20.0,5,4,4,3,4,280.4
155205  ,1.0,2,22.0,5,4,3,3,3,280.4
155205  ,1.0,2,12.0,5,4,1,3,3,280.4
155216  ,1.0,1,55.0,2,2,6,1,0.0,120.0
155216  ,1.0,2,49.0,2,2,4,1,0.0,120.0
155216  ,1.0,1,28.0,5,4,1,3,6,120.0
155216  ,1.0,1,26.0,5,4,5,2,0.0,120.0
156317  ,1.0,1,56.0,2,4,2,2,0.0,292.85714285714283
156317  ,1.0,2,55.0,2,4,2,3,4,292.85714285714283
156317  ,1.0,1,18.0,5,4,3,1,0.0,292.85714285714283
156317  ,1.0,1,21.0,5,1,3,1,0.0,292.85714285714283
156317  ,1.0,1,23.0,1,1,5,1,0.0,292.85714285714283
156317  ,1.0,2,22.0,1,1,4,1,0.0,292.85714285714283
156317  ,1.0,1,0,5,1,7,4,5,292.85714285714283
156317  ,2.0,1,30.0,2,4,3,1,0.0,137.5
156317  ,2.0,2,28.0,2,4,3,3,3,137.5
156317  ,2.0,1,2.0,5,4,7,4,5,137.5
156317  ,2.0,2,9.0,5,4,1,4,3,137.5
157481  ,1.0,2,24.0,5,2,6,3,4,500.0
157677  ,1.0,2,63.0,2,4,2,3,4,0.0
158239  ,1.0,2,82.0,5,12,6,3,1,4500.0
158433  ,1.0,2,58.0,4,12,6,1,0.0,2490.0
158433  ,1.0,2,27.0,5,2,5,1,0.0,2490.0
159186  ,1.0,1,33.0,2,4,3,1,0.0,250.0
159186  ,1.0,2,42.0,2,4,1,1,0.0,250.0
159186  ,1.0,2,5.0,5,4,1,4,5,250.0
159205  ,1.0,2,76.0,4,2,4,3,1,1026.0
159238  ,2.0,2,17.0,5,4,5,1,0.0,525.0
159238  ,2.0,2,18.0,5,1,5,3,3,525.0
159294  ,1.0,1,68.0,5,1,6,3,1,1000.0
159305  ,1.0,2,63.0,5,1,4,3,1,475.0
159305  ,1.0,1,92.0,4,1,2,3,1,475.0
159327  ,1.0,1,81.0,2,1,3,3,1,217.5
159327  ,1.0,2,78.0,2,1,2,3,4,217.5
159773  ,1.0,1,59.0,1,1,2,1,0.0,815.0
159773  ,1.0,2,69.0,1,1,1,3,1,815.0
160139  ,1.0,2,74.0,4,1,2,3,1,350.0
160310  ,1.0,2,25.0,5,4,5,1,0.0,325.0
160310  ,1.0,2,17.0,5,4,3,1,0.0,325.0
160429  ,1.0,1,61.0,2,1,3,3,7,25.0
160429  ,1.0,2,60.0,2,1,3,3,4,25.0
160644  ,1.0,1,75.0,2,1,4,3,1,360.0
160644  ,1.0,2,77.0,2,1,4,3,1,360.0
160669  ,1.0,1,37.0,2,1,4,1,0.0,550.0
160669  ,1.0,2,35.0,2,1,4,1,0.0,550.0
160669  ,1.0,1,9.0,5,1,1,4,3,550.0
160669  ,1.0,2,25.0,5,4,5,2,0.0,550.0
160844  ,1.0,1,33.0,1,1,4,1,0.0,500.0
160844  ,1.0,2,29.0,1,1,3,3,4,500.0
160844  ,1.0,1,0,5,1,7,4,5,500.0
160845  ,1.0,1,55.0,2,1,6,2,0.0,520.0
160845  ,1.0,2,58.0,2,1,6,1,0.0,520.0
161080  ,1.0,1,60.0,2,1,4,1,0.0,250.0
161080  ,1.0,2,60.0,2,1,4,3,4,250.0
161107  ,1.0,2,78.0,4,1,4,3,1,609.0
161152  ,1.0,1,35.0,2,2,4,1,0.0,550.0
161152  ,1.0,2,32.0,2,2,4,1,0.0,550.0
161152  ,1.0,2,4.0,5,2,7,4,5,550.0
161155  ,1.0,1,78.0,2,2,5,3,1,900.0
161155  ,1.0,2,75.0,2,2,2,3,4,900.0
161356  ,1.0,2,80.0,5,1,3,3,1,650.0
161725  ,2.0,1,20.0,5,1,5,3,3,1440.5
161725  ,2.0,1,22.0,5,4,5,1,0.0,1440.5
161725  ,2.0,1,19.0,5,1,5,1,0.0,1440.5
161725  ,2.0,1,21.0,5,1,5,1,0.0,1440.5
162181  ,1.0,2,52.0,3,3,7,1,0.0,253.5
162181  ,1.0,2,14.0,5,1,3,3,3,253.5
